ki,pi_late,pi_late_sd
0.05,-0.010436369935480996,0.48357757928142997
0.1,0.00011953560505941541,0.36294173974729077
0.15,0.0055141006734011865,0.30389326902438224
0.2,0.005904522153916345,0.2708968755015877
0.3,0.0035056971348674626,0.23747623642213259
