random,quadrant,troi
3580.6132847228514,21257.132164962157,24916.950365389886
2703.3034243461784,31178.97693539171,35092.22914147901
1158.3938064125102,31831.96566532954,36072.75848829417
2963.509030376115,13434.117362699002,26391.59182125461
1364.39224089914,17394.46804680728,23101.29699132963
4065.502580868827,48225.963307607846,65855.42583413146
1855.681178307608,13113.819601968338,30522.421313626557
2637.1579706603866,31105.9124179353,42579.11169174687
507.97121634937923,11294.021962245744,18654.93237249947
1304.6601815646156,29344.339171083295,45055.52593529908
1274.6191408851632,9086.998434454874,9001.92729236835
1982.7295554446987,14997.018130449233,33737.869917128126
638.3680626800142,19039.718181755798,32853.78534890233
6080.306735180711,34064.012519936565,45238.153772530626
821.0104080092195,15426.139759214773,15699.402041035042
2713.8778767423573,36575.16678844059,42038.38728813725
1875.8448496293845,18184.168450831075,22411.213425907586
1016.4602205283113,23100.75479268563,24385.124567563995
974.5768700542347,18094.025442907383,23664.746654681585
2729.437523894215,16456.711204376003,85992.71624118519
1149.5746345278358,11433.360247726428,16087.585175688657
978.6579899400697,13149.059840881146,21552.946452382006
641.8629559524339,15769.729452645803,19317.694550768698
656.1682508540172,17943.290248498863,23793.11389833839
2554.4157908487273,28722.718403219198,32566.833678329953
1414.896562364968,17584.037776620837,25151.909523629703
768.1124805885449,14170.333371493696,21915.34308142002
6172.738692301926,16562.210776738986,23902.219832123632
757.5556314036446,29088.751455561523,32502.85167520531
1410.7139954745726,15818.820448237597,19566.779949516367
689.6696706004765,13391.96944833384,17852.24981853276
483.09475046060635,9389.948063444193,16755.92632266578
1441.883645351729,44458.07403968319,45679.93019173351
5024.561221629374,23220.932038193034,25356.314295256238
1639.7394641219128,23472.691022933286,24626.9339046505
3097.437495867272,10055.358793029922,16949.14226289052
4071.206319633506,23391.216779955063,25240.03115471572
1927.2394994904362,14847.731743720758,20503.707206265215
1168.9249981522235,12067.538398162429,18810.444550849228
885.0929082253599,28953.464645048778,33498.265093689566
2318.616743737312,8562.050205908194,11273.487506223231
1827.6227140412152,15094.180917583262,23655.994894176274
2817.781496999862,16148.562273232792,26897.380621957036
3842.3014495222596,26853.568673062324,34461.56749199957
1090.5941520485446,14378.777377112641,19430.793368510153
911.8753209755201,13266.20791868052,19812.522242148523
593.4236807155105,14241.160312028802,53947.28061081137
1524.7009067480474,16518.96903879331,21633.791773525827
12312.966947188272,14177.65667327949,31109.860500247367
808.1358697114489,29831.422086220107,31039.933676619854
1743.810526484036,7860.424439744193,48108.96973331506
1834.5711650429455,18310.897992224058,24415.68688050063
1362.006136636676,8482.51480064617,39794.793292803835
3347.3976676278676,41590.92444843091,45907.41555230812
967.0731080582747,10440.931625006293,17787.6903833795
1555.0207660430228,33954.80650588966,44142.64915254056
721.2000694190215,13241.338705648643,30228.07908068464
970.526889511662,13268.149407200604,18920.292023830956
1223.6366223627545,28619.29979238235,30898.745999247694
2014.259066061305,7431.7330041560745,7678.519956754545
10038.028623555905,13106.820648077559,35552.51384298825
963.4403515550672,16023.267003952486,23329.683328647043
4891.186557974904,44940.54161429643,64577.71521079285
1984.3652052355196,22219.16163589234,37370.14651229486
4133.335825001941,31284.439078279614,56562.133234147885
901.9928745149357,20624.323762085183,28547.369038816058
1363.694173039261,20486.9004318007,33677.359206231675
1737.129625292776,11552.065548484881,17894.584126918664
1148.1516073494283,20170.523116943557,40445.55612782194
3806.8021033201903,22310.825494794986,39355.82674410295
2521.805695468192,12203.83406339138,26652.411132779704
4139.261505013814,20419.49884571639,35104.20910481542
4629.3233232681705,19918.39394887028,27618.09233779575
2413.7258540279745,36278.8499823181,40093.60240653615
1298.7205130657444,14278.318277379276,14128.010427154526
963.1985911915614,17331.881685010565,39811.9194881509
1023.9185588917384,13513.84588359325,13513.84588359325
2748.3363166717727,19996.094530954717,57645.0883619899
1943.425131469608,23485.70825665631,23391.973812366083
1539.7006390572867,16969.2921346697,26321.110460886244
2232.503864436653,25289.428030030613,28744.832007975903
2670.9682691844973,11687.424024940925,19673.02696538496
1047.0647560194154,22007.195305072393,22007.195305072393
1000.1862570121609,16755.920217027342,26535.925477726207
590.0332889006323,6084.12039345345,14054.155634357981
1520.9813841835198,8837.018745553713,20024.192412835528
1352.5412696060716,25701.711946052794,26045.831843698867
2121.845207195411,14899.522712317512,15414.525444132789
1341.5326287568123,27172.056844792656,41131.144841674926
909.1554382057975,35021.78192312421,40867.15074318476
1231.6295406916486,16358.79673221741,27765.726138449892
2186.293151892856,13072.37760775441,28082.24020924663
505.22130831061855,15014.350646193452,38837.8105532125
909.6620773518068,10565.865742772061,14712.848279490996
4190.4132017600305,25263.770885957692,35930.08521794274
1551.8365255263338,15956.25230582253,22980.778727413563
1752.5180123832042,17142.275737020376,20718.335934718172
2042.5090108807674,13038.603684930195,22515.79752631367
1831.0307799553036,19676.62345731421,29986.898220841565
2297.251300409905,24577.04933280705,23540.241547547543
572.185124268328,23307.190821138032,33038.56175212677
2735.627124407407,39845.5591496301,49167.13487618738
1294.4270067155035,12065.489065250062,19967.492442421135
1149.144713040604,15676.583863686208,36624.70043562028
1204.3177868842574,24137.190558610546,29364.67875964013
1477.8482581418823,17239.5261401809,19447.424658770527
375.2413456227956,16788.31233092852,18030.74433727117
1846.6880910555933,10725.05370618372,19428.16175303396
1636.9803439351533,19772.2229121147,38056.1065692899
1599.1357161110268,11662.82081225822,23438.626824317947
1855.9225357780715,10850.142939771058,13186.931220417675
679.5110040178539,19398.39344026173,27473.31563084443
2489.56873213876,10046.210450022927,15640.831046938843
1191.3169648194844,9034.103274010973,19744.91288804315
854.3519940272145,32210.795647479423,35567.80892603896
1068.250001435354,18679.076094424592,18926.146109872305
2454.19654670905,24277.967982766673,60419.44867605877
6545.514271408018,21791.261271314143,39932.199232331826
5028.776177108804,12292.134191736508,22877.196436529863
22770.107813116952,30343.92042250133,50651.797423138305
882.6239712739493,39917.29670372386,44861.94343435975
1189.6550841659891,13147.697117620148,36997.958346878506
3521.978145229352,13336.553968189364,24246.410496392517
6989.436089755709,17386.185912840752,28388.630071361076
3563.857554094282,16473.75384711006,26848.478303338292
1401.0780333665618,15973.863939079047,21072.747997347953
587.4069666240116,26236.94749487417,31109.220549790665
1267.0566431204236,19655.217289586464,28216.667018588207
5986.937647934319,16384.040752434976,24619.489608414173
669.411117704063,14816.13437386221,24561.839655806045
834.0955975815607,16624.677882289332,19392.352840407937
1799.9025025808767,12437.434901022161,19875.45586482139
6197.080744130921,19293.331894893334,22305.332424152828
2919.4559840653296,18251.11009497744,38153.014821541256
2087.6045527996935,19244.74495404867,52590.73812468988
5356.688446489009,21410.484105631444,34599.97253148833
1282.4867394989976,24412.322744556426,33756.66051491376
689.152322151791,33086.70739753033,41465.98579812036
638.1872244338632,15783.207649098487,19320.875103201943
1216.2846975473485,19726.75807119499,24029.44774483717
1055.020363527214,15998.665546184333,22483.57247604836
759.4130211578879,9437.54579127353,38670.777755675765
1581.8330048852174,19506.536414638147,19512.083859388767
1522.2583950613105,11621.710105814784,22080.38002645972
1934.2625732047939,31824.17888351204,35761.923866746794
1315.6212682827233,30478.46322583971,43781.37148513116
1949.512544329576,63816.92163213087,77077.47431111097
2364.1239578249933,15099.059692127448,15970.680437422072
986.5868526466718,21000.008499558964,26718.604350465746
568.332151887205,8001.444157685846,8509.00338862699
2839.4310505753583,16636.769831995083,21436.13406345555
2389.8072662256945,15921.302091382971,18641.84694020052
5070.7270602760145,16420.33587129583,25019.204443055583
2920.847243275469,17398.85903317438,27070.78295929032
482.7369418285464,9142.101381027347,35701.91745170383
1786.813555529725,21207.91201994361,24220.968834511645
3823.3166829960887,16876.364832200918,32929.506914394595
671.9311087997039,19674.583415822523,24075.294877126886
2995.6774909545525,11200.427452502927,14457.566735785362
2749.1685363307415,15838.599575428912,22939.838506773096
1235.8278231110062,31605.657354316318,41969.86873155124
561.2916261455405,22593.05662829534,32427.878005455223
2084.1584768657544,17214.812143472856,28811.39602026338
2496.6029158513365,23226.41019067122,29058.204845445984
1552.3452034431011,19789.37178908204,28879.590464730813
914.2183027621478,32756.207932276466,32756.207932276466
4538.097431749588,14374.251925873716,19844.744401897526
2166.935335427749,20103.700415645053,35918.345632124685
