n_tasks,troi_mean,quad_mean,improvement_pct
500,20978.951969527327,12865.294805052443,63.066235849399256
1000,29259.63179684876,19730.291645853897,48.2980197254071
2000,41965.406089577256,28983.728039358608,44.789538573471674
