budget,troi_mean,quad_mean,improvement_pct
20,20981.892242347472,14952.317352010761,40.32535391262188
40,29259.63179684876,19730.291645853897,48.2980197254071
80,39505.275848286576,25104.040994539348,57.3662019468491
