none_full,p_only_full,pi_full,none_early,p_only_early,pi_early,none_late,p_only_late,pi_late
6.229515121808081,3.8445441537934446,0.26305191802533257,6.718902261709318,4.00313102563499,1.226636729225556,6.687739892026977,3.6200209610547085,0.3279484519157964
5.9469849555993655,3.843246753382291,0.2373239759392888,4.315585693852953,2.9318424151067632,0.6822049879589894,6.557892565432201,4.391505197604895,-0.14199731278482963
6.18097670997493,3.585852022126452,0.1101849486709608,7.146529745634937,4.994458837853121,1.762961208470025,6.427173549262461,3.987572660723929,-0.39200820436881684
4.766500452887987,4.5263437601058385,0.3221870668649969,4.451111175291286,4.532694500831492,1.529287688210904,6.568548597727407,3.681025106307247,0.6844915175046056
6.298545372286316,4.534353582187579,0.16887351056570232,7.390581894140909,4.653191523042155,1.638660255552247,6.25381721584729,3.665079536733034,-0.33747559109393577
5.918819698668278,4.3535985805163735,0.15573068167754467,6.057590762774937,4.905019328404245,1.6986301398504222,6.661020623815798,4.030020037718494,-0.2720684005832106
5.998201269726005,4.308254278931159,0.2111702369314868,4.964856328643565,4.535433448359378,1.3902011470946987,5.94008722758154,4.026565524745382,-0.11274412868046024
5.95162258117673,3.959784152445015,0.2274449483765008,7.047005860909897,5.694205663005399,2.0351580389521384,3.3833961218715625,3.789386465456303,0.03203483084383997
5.49672108141317,3.97905242070392,0.25622747205966,4.800634432159588,3.541058758358334,0.7651875828525229,6.130814558990827,3.2147458389245127,0.1542328321670324
6.316215030690083,3.9196740055720904,0.1968276146376882,3.6263347191168416,4.882156218631989,1.125988075234139,5.869822317869251,3.650586770865605,0.16467390527747852
6.072095200009295,3.6349381035404713,0.23757609505549168,6.979332238683974,3.218511980498943,0.8968713539223528,6.1800590394258075,4.086012672366835,0.4981194275083808
5.730505652645577,3.993819889616293,0.23524524319510495,6.878900805862551,4.12002836871741,1.3035794711040003,5.008689794063813,3.3266207127378,0.1744006674059331
5.939414377875162,3.5537110964899874,0.2334883270085378,6.52791014292495,3.4025977550120694,0.6932072070407678,6.110916547955412,3.4592757481056213,0.5709024885048212
6.469025271497653,3.9274826301651156,0.1380611496272965,9.513495496091963,5.343729925771858,1.0572891746605928,5.349292797049191,3.356603230809776,-0.018895292652858692
7.057859436443635,4.35475287103781,0.27523170759675203,6.0108887420178885,3.733516697446016,1.974558231542622,7.815358572117527,4.579635156184143,0.3530365867388258
5.78615965560052,4.2581576636836616,0.16835859322707883,4.39619478037161,3.4868384462272806,1.7346643955177872,5.8409586824504185,4.579516527412032,-0.47070875253716365
5.997522037370229,4.397548263324276,0.14507470818466586,4.650882514224381,4.64060198512061,1.1134415741658372,6.497156249480445,4.623067725564456,-0.3504056068153622
6.362954915452597,4.258863228673171,0.06536030906298546,5.600973473293482,4.109183770446843,1.7973294089112586,7.207606204420224,4.297137081351316,-0.4272617029051558
6.089999966911704,3.7777297761876607,0.17786110269596622,5.193898286512925,3.852370297101287,0.9835967093214684,6.899105238023366,3.2990935558888395,0.14543898192627502
6.2832227036895665,4.059475839649645,0.2421997936381433,7.439593624787976,2.627925123012446,0.38633099777879115,4.653664865224178,4.938455128967656,0.14273042790014479
5.439277918989612,3.401969417346026,0.2154486289641101,7.218202336273922,3.561998971106357,0.571395174995117,3.343606244267159,3.066197186879718,0.06075517009376004
6.043333800222766,4.049642482541725,0.23694115715732958,6.863881937539369,4.110264952464945,1.5952543834472368,5.357532484918417,3.720584051469387,0.18414173800051967
6.685446947430319,3.8014723349812414,0.14684388448458952,6.004692858624378,3.5510208496967195,0.9999654675009337,7.47257180114037,3.84410002124757,-0.5092450714304824
6.74752205013094,3.956254706850922,0.17903064412474698,7.10910980428031,3.1633531588794312,1.1722305225312097,8.202782575688627,4.20506476110316,0.07844466849099213
6.816862639112899,4.009035925336349,0.17802705102876326,6.6939015894460105,5.609831862686287,1.880365401177836,6.859364355466137,4.089484436149923,-0.10718045708543279
6.086616343234566,3.9996581425264095,0.2447085455887475,6.529116148825992,4.00519491424407,2.08371653436808,4.916140893606347,3.7464845688864363,0.05239160124638339
6.077813179124191,4.300166752391885,0.20506797207475402,5.157738059021057,4.313537946806826,1.1815952910105227,6.510459073227782,4.195522328602496,-0.12933746296615836
6.098507801003828,3.898022668386992,0.19232194353088977,7.704888312713341,4.174275216681151,0.9093488862772181,3.560842189185621,4.234291845704158,-0.03869948348167952
6.593232925120444,4.2416905584991245,0.14809157066800696,7.325493214023723,4.73874006268352,0.6209923333177403,5.54889082137165,4.008188679916785,0.03558105388303939
6.207844287202675,3.4953918229375187,0.1893060572616156,5.2079390912800445,3.4667264877478234,0.6809337044007625,6.453965262529518,3.136470385359234,-0.2816097993293898
6.519462047713574,4.2503063267493495,0.21748851589001694,5.514435198580618,3.3411654267711284,1.1177032943668999,6.225746876547139,4.587150853879228,0.34182953534285543
6.205798476935798,4.1105971830038195,0.14369021644336527,5.395242382714351,4.449982318428913,1.628251553580365,6.212437459940746,3.3052457532356163,-0.09824911234548565
6.507394255337356,3.806936942780411,0.26267336418435194,6.1359404143875595,4.261841584075217,0.7345399392466057,6.4794638762061405,2.8070824743387237,-0.17316805805707958
5.419200248609413,4.428979683053393,0.14819243258842266,6.927153040706712,4.649989095646449,1.4847663052110809,6.092715839631235,3.8052417829155787,-0.15515058878749266
6.350608548399391,3.5766003790165253,0.1784183971921233,7.383258630920104,3.4286897916378374,1.4183433823255944,6.587923616001097,2.658489169182975,-0.14347544952400962
6.0341776581306155,4.420454838642384,0.18061256395189004,6.272881719462967,4.351429293829293,0.7334505157253534,7.2871235898533095,4.106055142888955,-0.5180150189627569
6.5698319535926,4.012991048049032,0.12634800288087336,6.668504604331217,4.044809775963023,0.9880103034849854,5.941596932302093,3.658769523582761,-0.08522071467321869
5.888949318822714,3.0566426034742715,0.18562697680154586,6.573653906255779,3.0896992726543138,1.3946873337599708,4.635415248633561,1.9259899135524359,0.015344722564141015
6.176261019077075,4.392635997633408,0.09210136705335038,6.059629279957269,6.14158504910404,0.847514765083215,6.179444535235134,3.9014461249958092,-0.5511189450257704
5.4465859833449315,3.449673442600682,0.20283000095204798,5.529541555813497,4.495159210397727,1.7452705007713307,5.180405030018043,3.5124306169613306,0.17760043744414078
5.991824570286233,4.140101922829956,0.12154456603379776,6.004233060150642,3.677495013031384,1.5932458574123811,6.58204698508102,4.940235704889599,-0.2057937131012551
7.012327510189992,4.084500073324594,0.2156470871270929,6.218179007959967,3.6314196523082183,0.6737875204539985,6.243020612108706,4.607733783117699,-0.11535264197000579
5.786651677423859,3.9300430658733503,0.10941230579815439,3.9333910423572482,3.931785664507981,1.284018403544901,5.318854817687735,4.3690469308078805,-0.3566493760801956
6.733184385391528,3.4385459632161797,0.15309879921736566,6.644663982577511,3.149185483303364,1.3972206324196812,6.7480333981535265,3.10469483060306,-0.21707915914892795
6.11444624566185,3.972104555520533,0.3028943594400299,6.612863612406244,4.424092313388574,1.6958333381780837,5.06521105447723,4.006368781457763,0.6832328540342499
6.05396146709395,3.9702138499207575,0.22957894887324037,5.718641499754536,3.4573456139840233,0.9008917105545204,6.448534371664519,4.026653841473774,0.13526884742369508
6.438676170160734,4.2822474715871275,0.23988990512416486,7.5777322489755745,5.685469389926004,1.2181769988402464,4.931255407195455,3.600219061850172,0.24070496084302362
6.270883874513572,4.1611408602272535,0.15564609810393237,7.287521322116078,2.327284604830362,1.0212186791565905,5.639594945624115,4.801554600205589,-0.055223801984649726
7.102732810506872,3.861829590610824,0.27524009461802385,7.252735852107877,4.483708856513271,1.2192508505122432,7.665438947564578,3.097439130756767,0.2371522669040259
6.8846488657386455,4.022549797083339,0.16734303531922806,6.4585189095455755,4.515679218015574,1.5783347954624247,5.375216303903066,4.408475676455338,0.016957240306189263
5.713624820628739,4.137554824928532,0.13974598077532133,4.394779668537413,4.919554042593754,1.0195486916070726,5.676075787516265,3.551555006194211,-0.267407446588917
6.605001839803944,3.847334993473288,0.08271561394723234,8.71807984010344,3.8870182289459954,1.115125738943683,6.0424360862968705,4.951284655774781,-0.4258257843149438
5.404408332241942,3.920064388529099,0.15151130268431076,5.076904851751214,4.012919605226861,1.634487492801001,5.409861832594737,4.165393930017963,-0.05526254252917937
6.111025188702195,4.018667817241506,0.2480972958166737,5.16340753050944,5.232690263383828,1.048379227605341,5.761617856513375,3.7314098549527306,-0.09587047913017337
6.527609059826968,4.199839317717355,0.17536738889180575,5.79083509738352,4.756676392294417,1.725073815007679,6.040331569937953,4.610442769776727,-0.09542341447406763
5.809880234736498,3.5656048046424633,0.2522814110972915,4.955332300088178,4.367408385090915,2.01063799435113,5.650119736884694,3.3620738590737944,0.2397450254613352
6.374750445837895,4.742661190923772,0.1857025350337113,6.750355973368404,5.064530439557998,1.5974973911440624,5.842381789983095,5.165816221622345,-0.0664428838361814
5.6434248291944185,4.289476158142012,0.21221516549242986,4.777424143110596,4.707528252141403,1.5198071266117943,4.597808064544027,3.5668913700551372,0.10749981954084803
6.578161735026929,4.214402273933871,0.25333455544520594,7.856959083361222,3.9714469070271616,0.8797168371964065,4.908811851858025,3.978198719990091,0.2799618406365339
5.004968422372194,3.8647660954035423,0.21850722757881239,4.35649960408116,3.0075124114210348,1.1093047359467891,5.996184647604299,3.200226996479417,0.22210571500741202
5.529124385008766,3.7438936958080795,0.26383290470996223,6.509879437546147,4.446221210267564,1.5909481029280996,5.348723589459683,3.6730655742034037,0.4251458189834608
5.114349814817319,3.7484949344838543,0.20073480922057152,6.0183314882335175,4.690433494790976,0.8599791728867477,4.19642716583143,2.5185316507750084,0.29541490307026896
6.066236160080166,3.8401791565414443,0.28091226749454196,7.066246931241178,3.7324136587635026,1.382377314033016,6.478030618827603,3.956197674007041,0.407397505144724
6.235469170295662,4.059556327503241,0.12982499276142037,7.243847009395533,4.5835957983823965,1.3135606011285357,7.218491849066246,3.75522140569643,-0.1426698017908965
6.7356804875480725,3.859470547132464,0.12582014878911868,6.661144690016173,4.815803903276916,1.4929082577036827,6.5666568842858615,3.237035640823497,-0.11410853634832599
5.712965137840013,3.91314447090086,0.23961444738685655,6.605703378573676,4.378054295146054,1.2803973172481415,6.573817014148797,3.17512670165267,-0.05453785853909007
5.921677035422911,3.998693391480407,0.11139634313087216,6.27581850658361,5.657654134221634,0.829348399627771,3.4755610026676016,3.86615994112353,-0.609003887050118
5.701425430442103,4.158697557290838,0.2667896918521649,6.504829468473158,4.8135036458967795,1.2492491584233476,5.937574842516677,4.05518668765885,0.4296167142175314
6.586168324699629,3.557040343556488,0.14622005054343162,7.619463851189068,3.186206516189936,1.540245457056506,6.211591738792355,3.0989894077653743,0.07754787180159842
6.368063495929066,4.165235897522942,0.1845148030847848,3.635010258908844,4.899047783681199,1.4524354844747127,5.664564206018847,3.4446700326045163,0.2923536069936354
6.0451364339444265,4.249368895471076,0.20723618387174192,6.301458819888082,4.139297226524951,0.9667559876938303,6.7573375371046325,4.197935659628756,0.6684894448451371
6.116292759254468,4.107178594790852,0.1543374870043083,6.70246569181857,4.783035777480564,1.2453889878242648,6.952475181001891,3.5982959660558036,-0.07900056154217182
5.753944156937751,3.713418564447693,0.19101812004844354,6.5990570885396265,4.197318737217721,2.1380474736608743,6.672876817616961,3.3408930509307173,0.1567689826241937
